time_from_start,drone1_move_x,drone1_move_y,drone1_move_z,drone1_turn_z,drone2_move_x,drone2_move_y,drone2_move_z,drone2_turn_z,drone3_move_x,drone3_move_y,drone3_move_z,drone3_turn_z,drone4_move_x,drone4_move_y,drone4_move_z,drone4_turn_z,drone5_move_x,drone5_move_y,drone5_move_z,drone5_turn_z,drone6_move_x,drone6_move_y,drone6_move_z,drone6_turn_z,drone7_move_x,drone7_move_y,drone7_move_z,drone7_turn_z,drone8_move_x,drone8_move_y,drone8_move_z,drone8_turn_z,drone9_move_x,drone9_move_y,drone9_move_z,drone9_turn_z
11,0.0,0.0,0.36666666666666664,0.0,1.1,1.0,0.36666666666666664,0.3,2.2,2.0,0.36666666666666664,0.6,3.3000000000000007,3.0,0.36666666666666664,0.8999999999999999,4.4,4.0,0.36666666666666664,1.2,5.5,5.0,0.36666666666666664,1.5,6.600000000000001,6.0,0.36666666666666664,1.7999999999999998,7.700000000000001,7.0,0.36666666666666664,2.1,8.8,8.0,0.36666666666666664,2.4
12,0.0,0.0,0.4,0.0,1.2000000000000002,1.0,0.4,0.3,2.4000000000000004,2.0,0.4,0.6,3.6000000000000005,3.0,0.4,0.8999999999999999,4.800000000000001,4.0,0.4,1.2,6.0,5.0,0.4,1.5,7.200000000000001,6.0,0.4,1.7999999999999998,8.4,7.0,0.4,2.1,9.600000000000001,8.0,0.4,2.4
13,0.0,0.0,0.43333333333333335,0.0,1.3,1.0,0.43333333333333335,0.3,2.6,2.0,0.43333333333333335,0.6,3.9000000000000004,3.0,0.43333333333333335,0.8999999999999999,5.2,4.0,0.43333333333333335,1.2,6.5,5.0,0.43333333333333335,1.5,7.800000000000001,6.0,0.43333333333333335,1.7999999999999998,9.100000000000001,7.0,0.43333333333333335,2.1,10.4,8.0,0.43333333333333335,2.4
14,0.0,0.0,0.4666666666666667,0.0,1.4000000000000001,1.0,0.4666666666666667,0.3,2.8000000000000003,2.0,0.4666666666666667,0.6,4.200000000000001,3.0,0.4666666666666667,0.8999999999999999,5.6000000000000005,4.0,0.4666666666666667,1.2,7.0,5.0,0.4666666666666667,1.5,8.400000000000002,6.0,0.4666666666666667,1.7999999999999998,9.8,7.0,0.4666666666666667,2.1,11.200000000000001,8.0,0.4666666666666667,2.4
15,0.0,0.0,0.5,0.0,1.5,1.0,0.5,0.3,3.0,2.0,0.5,0.6,4.500000000000001,3.0,0.5,0.8999999999999999,6.0,4.0,0.5,1.2,7.5,5.0,0.5,1.5,9.000000000000002,6.0,0.5,1.7999999999999998,10.500000000000002,7.0,0.5,2.1,12.0,8.0,0.5,2.4
16,0.0,0.0,0.5333333333333333,0.0,1.6,1.0,0.5333333333333333,0.3,3.2,2.0,0.5333333333333333,0.6,4.800000000000001,3.0,0.5333333333333333,0.8999999999999999,6.4,4.0,0.5333333333333333,1.2,8.0,5.0,0.5333333333333333,1.5,9.600000000000001,6.0,0.5333333333333333,1.7999999999999998,11.200000000000001,7.0,0.5333333333333333,2.1,12.8,8.0,0.5333333333333333,2.4
17,0.0,0.0,0.5666666666666667,0.0,1.7000000000000002,1.0,0.5666666666666667,0.3,3.4000000000000004,2.0,0.5666666666666667,0.6,5.1000000000000005,3.0,0.5666666666666667,0.8999999999999999,6.800000000000001,4.0,0.5666666666666667,1.2,8.5,5.0,0.5666666666666667,1.5,10.200000000000001,6.0,0.5666666666666667,1.7999999999999998,11.9,7.0,0.5666666666666667,2.1,13.600000000000001,8.0,0.5666666666666667,2.4
18,0.0,0.0,0.6,0.0,1.8,1.0,0.6,0.3,3.6,2.0,0.6,0.6,5.4,3.0,0.6,0.8999999999999999,7.2,4.0,0.6,1.2,9.0,5.0,0.6,1.5,10.8,6.0,0.6,1.7999999999999998,12.600000000000001,7.0,0.6,2.1,14.4,8.0,0.6,2.4
19,0.0,0.0,0.6333333333333333,0.0,1.9000000000000001,1.0,0.6333333333333333,0.3,3.8000000000000003,2.0,0.6333333333333333,0.6,5.700000000000001,3.0,0.6333333333333333,0.8999999999999999,7.6000000000000005,4.0,0.6333333333333333,1.2,9.5,5.0,0.6333333333333333,1.5,11.400000000000002,6.0,0.6333333333333333,1.7999999999999998,13.3,7.0,0.6333333333333333,2.1,15.200000000000001,8.0,0.6333333333333333,2.4
20,0.0,0.0,0.6666666666666666,0.0,2.0,1.0,0.6666666666666666,0.3,4.0,2.0,0.6666666666666666,0.6,6.000000000000001,3.0,0.6666666666666666,0.8999999999999999,8.0,4.0,0.6666666666666666,1.2,10.0,5.0,0.6666666666666666,1.5,12.000000000000002,6.0,0.6666666666666666,1.7999999999999998,14.000000000000002,7.0,0.6666666666666666,2.1,16.0,8.0,0.6666666666666666,2.4
21,0.0,0.0,0.7,0.0,2.1,1.0,0.7,0.3,4.2,2.0,0.7,0.6,6.300000000000001,3.0,0.7,0.8999999999999999,8.4,4.0,0.7,1.2,10.5,5.0,0.7,1.5,12.600000000000001,6.0,0.7,1.7999999999999998,14.700000000000001,7.0,0.7,2.1,16.8,8.0,0.7,2.4
22,0.0,0.0,0.7333333333333333,0.0,2.2,1.0,0.7333333333333333,0.3,4.4,2.0,0.7333333333333333,0.6,6.600000000000001,3.0,0.7333333333333333,0.8999999999999999,8.8,4.0,0.7333333333333333,1.2,11.0,5.0,0.7333333333333333,1.5,13.200000000000003,6.0,0.7333333333333333,1.7999999999999998,15.400000000000002,7.0,0.7333333333333333,2.1,17.6,8.0,0.7333333333333333,2.4
23,0.0,0.0,0.7666666666666667,0.0,2.3000000000000003,1.0,0.7666666666666667,0.3,4.6000000000000005,2.0,0.7666666666666667,0.6,6.900000000000001,3.0,0.7666666666666667,0.8999999999999999,9.200000000000001,4.0,0.7666666666666667,1.2,11.5,5.0,0.7666666666666667,1.5,13.800000000000002,6.0,0.7666666666666667,1.7999999999999998,16.1,7.0,0.7666666666666667,2.1,18.400000000000002,8.0,0.7666666666666667,2.4
24,0.0,0.0,0.8,0.0,2.4000000000000004,1.0,0.8,0.3,4.800000000000001,2.0,0.8,0.6,7.200000000000001,3.0,0.8,0.8999999999999999,9.600000000000001,4.0,0.8,1.2,12.0,5.0,0.8,1.5,14.400000000000002,6.0,0.8,1.7999999999999998,16.8,7.0,0.8,2.1,19.200000000000003,8.0,0.8,2.4
25,0.0,0.0,0.8333333333333334,0.0,2.5,1.0,0.8333333333333334,0.3,5.0,2.0,0.8333333333333334,0.6,7.500000000000001,3.0,0.8333333333333334,0.8999999999999999,10.0,4.0,0.8333333333333334,1.2,12.5,5.0,0.8333333333333334,1.5,15.000000000000002,6.0,0.8333333333333334,1.7999999999999998,17.5,7.0,0.8333333333333334,2.1,20.0,8.0,0.8333333333333334,2.4
26,0.0,0.0,0.8666666666666667,0.0,2.6,1.0,0.8666666666666667,0.3,5.2,2.0,0.8666666666666667,0.6,7.800000000000001,3.0,0.8666666666666667,0.8999999999999999,10.4,4.0,0.8666666666666667,1.2,13.0,5.0,0.8666666666666667,1.5,15.600000000000001,6.0,0.8666666666666667,1.7999999999999998,18.200000000000003,7.0,0.8666666666666667,2.1,20.8,8.0,0.8666666666666667,2.4
27,0.0,0.0,0.9,0.0,2.7,1.0,0.9,0.3,5.4,2.0,0.9,0.6,8.100000000000001,3.0,0.9,0.8999999999999999,10.8,4.0,0.9,1.2,13.5,5.0,0.9,1.5,16.200000000000003,6.0,0.9,1.7999999999999998,18.900000000000002,7.0,0.9,2.1,21.6,8.0,0.9,2.4
28,0.0,0.0,0.9333333333333333,0.0,2.8000000000000003,1.0,0.9333333333333333,0.3,5.6000000000000005,2.0,0.9333333333333333,0.6,8.400000000000002,3.0,0.9333333333333333,0.8999999999999999,11.200000000000001,4.0,0.9333333333333333,1.2,14.0,5.0,0.9333333333333333,1.5,16.800000000000004,6.0,0.9333333333333333,1.7999999999999998,19.6,7.0,0.9333333333333333,2.1,22.400000000000002,8.0,0.9333333333333333,2.4
29,0.0,0.0,0.9666666666666667,0.0,2.9000000000000004,1.0,0.9666666666666667,0.3,5.800000000000001,2.0,0.9666666666666667,0.6,8.700000000000001,3.0,0.9666666666666667,0.8999999999999999,11.600000000000001,4.0,0.9666666666666667,1.2,14.5,5.0,0.9666666666666667,1.5,17.400000000000002,6.0,0.9666666666666667,1.7999999999999998,20.3,7.0,0.9666666666666667,2.1,23.200000000000003,8.0,0.9666666666666667,2.4
30,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.3,6.0,2.0,1.0,0.6,9.000000000000002,3.0,1.0,0.8999999999999999,12.0,4.0,1.0,1.2,15.0,5.0,1.0,1.5,18.000000000000004,6.0,1.0,1.7999999999999998,21.000000000000004,7.0,1.0,2.1,24.0,8.0,1.0,2.4
